Academic_Year,Semester,Section_Number,Department_Program,Course_Prefix,Course_Number,Course_Title,Course,Letter_Grade,Count_of_letter_grade
2020-2021,Fall 2020,310,Architectural Interior Design,ARI, 310K,DESIGN I,"ARI-310K: DESIGN I, Section no. 310",A,3
,,,,,,,,B,7
,,,,,,,,C,1
,,,,,,,,Other,1
,,315,Architectural Interior Design,ARI, 311K,VISUAL COMMUNICATION I,"ARI-311K: VISUAL COMMUNICATION I, Section no. 315",A,3
,,,,,,,,B,5
,,,,,,,,C,2
,,,,,,,,Other,1
,,320,Architectural Interior Design,ARI, 318K,INTERIORS AND SOCIETY-WB,"ARI-318K: INTERIORS AND SOCIETY-WB, Section no. 320",A,21
,,,,,,,,B,5
,,,,,,,,C,4
,,,,,,,,D,1
,,,,,,,,Other,6
,,330,Architectural Interior Design,ARI, 221K,VISUAL COMMUNICATION III-WB,"ARI-221K: VISUAL COMMUNICATION III-WB, Section no. 330",A,3
,,,,,,,,B,7
,,,,,,,,C,1
,,,,,,,,Other,1
,,345,Architectural Interior Design,ARI, 530K,DESIGN V-INTERIORS,"ARI-530K: DESIGN V-INTERIORS, Section no. 345",A,9
,,,,,,,,B,3
,,350,Architectural Interior Design,ARI, 338,DESGNING FOR HUMAN BEHAVIOR-WB,"ARI-338: DESGNING FOR HUMAN BEHAVIOR-WB, Section no. 350",A,20
,,,,,,,,B,2
,,,,,,,,Other,1
,,365,Architectural Interior Design,ARI, 368R,INTERIOR DESIGN HISTORY II,"ARI-368R: INTERIOR DESIGN HISTORY II, Section no. 365",A,12
,,,,,,,,B,3
,,370,Architectural Interior Design,ARI, 381D,ARCHITECTURAL DRAWING,"ARI-381D: ARCHITECTURAL DRAWING, Section no. 370",A,4
,,,,,,,,B,2
,,380,Architectural Interior Design,ARI, 385K,CONSTRUCTION I,"ARI-385K: CONSTRUCTION I, Section no. 380",A,3
,,,,,,,,B,3
,,385,Architectural Interior Design,ARI, 386M,INTERIORS AND SOCIETY-WB,"ARI-386M: INTERIORS AND SOCIETY-WB, Section no. 385",A,13
,,,,,,,,B,2
,,390,Architectural Interior Design,ARI, 388,DESGNING FOR HUMAN BEHAVIOR-WB,"ARI-388: DESGNING FOR HUMAN BEHAVIOR-WB, Section no. 390",A,8
,,,,,,,,B,2
,,495,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 495",A,8
,,,,,,,,B,4
,,,,,,,,C,1
,,500,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 500",A,13
,,,,,,,,B,3
,,505,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 505",A,11
,,,,,,,,B,4
,,,,,,,,Other,1
,,510,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 510",A,13
,,,,,,,,B,3
,,,,,,,,C,1
,,,,,,,,Other,1
,,515,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 515",A,18
,,,,,,,,B,4
,,,,,,,,C,1
,,,,,,,,Other,1
,,520,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 520",A,20
,,,,,,,,B,2
,,,,,,,,Other,1
,,525,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 525",A,9
,,,,,,,,B,8
,,,,,,,,C,1
,,,,,,,,Other,1
,,530,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 530",A,15
,,,,,,,,B,4
,,,,,,,,C,1
,,535,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 535",A,9
,,,,,,,,B,6
,,,,,,,,C,1
,,540,Architecture,ARC, 308,ARCHITECTURE AND SOCIETY,"ARC-308: ARCHITECTURE AND SOCIETY, Section no. 540",A,11
,,,,,,,,B,4
,,,,,,,,C,1
